name,twitter_handle,twitter_handle_2,twitter_handle_3,state,party,score,congress_group
Ross Spano,RossSpano,RepRossSpano,,FL,R,-0.16375,House
Eric Swalwell,RepSwalwell,ericswalwell,,CA,D,-0.18178,House
Thomas Massie,RepThomasMassie,,,KY,R,-0.18282,House
Yvette Clarke,RepYvetteClarke,VoteYvette,,NY,D,-0.18608,House
Brian Babin,RepBrianBabin,,,TX,R,-0.18846,House
Bill Keating,USRepKeating,WilliamKeating,,MA,D,-0.20656,House
Rick Larsen,RepRickLarsen,larsenrick,,WA,D,-0.21257,House
Denver Riggleman,RepRiggleman,Denver4VA,,VA,R,-0.21437,House
Judy Chu,RepJudyChu,,,CA,D,-0.21887,House
Bradley Byrne,RepByrne,BradleyByrne,,AL,R,-0.22203,House
Sam Graves,RepSamGraves,,,MO,R,-0.22455,House
Carol Miller,RepCarolMiller,,,WV,R,-0.22806,House
Daniel Webster,WebsterCongress,RepWebster,,FL,R,-0.23189,House
Chris Stewart,StewartforUtah,RepChrisStewart,,UT,R,-0.23332,House
Patrick McHenry,PatrickMcHenry,McHenryCampaign,,NC,R,-0.23474,House
Michael Burgess,michaelcburgess,,,TX,R,-0.23902,House
Raul Grijalva,RepRaulGrijalva,standwithraul,,AZ,D,-0.24407,House
Albio Sires,RepSires,,,NJ,D,-0.24737,House
Tom Rice,RepTomRice,,,SC,R,-0.24992,House
Lacy Clay,LacyClayMO1,,,MO,D,-0.25049,House
John Ratcliffe,RatcliffeTX4,RepRatcliffe,,TX,R,-0.25138,House
Bill Johnson,RepBillJohnson,JohnsonLeads,,OH,R,-0.25457,House
Donald Mceachin,Donald_McEachin,RepMcEachin,,VA,D,-0.27055,House
Chuck Fleischmann,chuck4congress,RepChuck,,TN,R,-0.27235,House
Stacey Plaskett,StaceyPlaskett,,,VI,D,-0.2764,House
Mike Simpson,MikeSimpson4ID,CongMikeSimpson,,ID,R,-0.28105,House
Jerrold Nadler,RepJerryNadler,JerryNadler,,NY,D,-0.28429,House
Sean Duffy,SeanDuffyWI,,,WI,R,-0.2856,House
Sharice Davids,sharicedavids,RepDavids,,KS,D,-0.28764,House
Rob Woodall,RepRobWoodall,,,GA,R,-0.28884,House
Justin Amash,justinamash,,,MI,R,-0.29115,House
Mike Rogers,RepMikeRogersAL,MikeRogersCamp,,AL,R,-0.29136,House
Jim Cooper,repjimcooper,CoopForCongress,,TN,D,-0.29216,House
Jose Serrano,RepJoseSerrano,,,NY,D,-0.29324,House
Joseph Kennedy,joekennedy,RepJoeKennedy,,MA,D,-0.29349,House
Ben Cline,Cline4Virginia,RepBenCline,,VA,R,-0.2985,House
Mark Green,RepMarkGreen,DrMarkGreen4TN,,TN,R,-0.3013,House
Ron Wright,RepRonWright,,,TX,R,-0.30965,House
Bennie Thompson,BennieGThompson,,,MS,D,-0.31218,House
Debbie Lesko,DebbieLesko,RepDLesko,,AZ,R,-0.31408,House
Brenda Lawrence,BrendaLLawrence,RepLawrence,,MI,D,-0.3144,House
Blaine Luetkemeyer,LuetkemeyerB,RepBlaine,,MO,R,-0.31633,House
Mark Desaulnier,RepDeSaulnier,,,CA,D,-0.3167,House
Alan Lowenthal,RepLowenthal,,,CA,D,-0.31696,House
Andy Levin,RepAndyLevin,Andy_Levin,,MI,D,-0.32202,House
Mike Conaway,ConawayTX11,,,TX,R,-0.32789,House
Susan Davis,RepSusanDavis,,,CA,D,-0.32832,House
Andy Harris,Harris4Congress,RepAndyHarrisMD,,MD,R,-0.33499,House
Duncan Hunter,,,,CA,R,-0.33735,House
Cedric Richmond,CedricRichmond,RepRichmond,,LA,D,-0.34515,House
Matt Gaetz,mattgaetz,RepMattGaetz,,FL,R,-0.34847,House
Doug Lamborn,RepDLamborn,,,CO,R,-0.35018,House
Michael San Nicolas,,,,GU,D,-0.35743,House
Drew Ferguson,RepDrewFerguson,,,GA,R,-0.36057,House
Elijah Cummings,RepCummings,ReElectCummings,,MD,D,-0.36068,House
Bobby Scott,BobbyScott4VA3,BobbyScott,,VA,D,-0.37748,House
Veronica Escobar,vgescobar,RepEscobar,,TX,D,-0.38365,House
Lloyd Doggett,RepLloydDoggett,LloydDoggettTX,,TX,D,-0.38415,House
Norma Torres,NormaJTorres,Norma4Congress,,CA,D,-0.39059,House
Hank Johnson,RepHankJohnson,ReElectHank,,GA,D,-0.39061,House
Andy Barr,RepAndyBarr,barrforcongress,,KY,R,-0.39878,House
Madeleine Dean,RepDean,MadeleineDean,,PA,D,-0.41095,House
William Timmons,RepTimmons,,,SC,R,-0.41125,House
David Price,RepDavidEPrice,,,NC,D,-0.41942,House
David Rouzer,RepDavidRouzer,DavidRouzer,,NC,R,-0.43503,House
Rosa Delauro,Rosa_DeLauro,rosadelauro,,CT,D,-0.43696,House
Sylvia Garcia,RepSylviaGarcia,,,TX,D,-0.44702,House
Billy Long,USRepLong,auctnr1,,MO,R,-0.44728,House
John Yarmuth,RepJohnYarmuth,,,KY,D,-0.45525,House
Virginia Foxx,foxxforcongress,virginiafoxx,,NC,R,-0.46232,House
Martha Roby,RepMarthaRoby,,,AL,R,-0.46381,House
Lauren Underwood,RepUnderwood,LaurenUnderwood,,IL,D,-0.46388,House
Neal Dunn,DunnCampaign,DrNealDunnFL2,,FL,R,-0.47778,House
Michael Guest,RepMichaelGuest,GuestCongress,,MS,R,-0.48168,House
Lance Gooden,Lancegooden,,,TX,R,-0.48317,House
Barry Loudermilk,RepLoudermilk,standwithbarry,,GA,R,-0.48676,House
Mark Walker,RepMarkWalker,,,NC,R,-0.50474,House
Alma Adams,RepAdams,,,NC,D,-0.50727,House
Randy Weber,WeberforTexas,TXRandy14,,TX,R,-0.51,House
Andre Carson,RepAndreCarson,,,IN,D,-0.51949,House
Lucille Roybal-Allard,RepRoybalAllard,,,CA,D,-0.52676,House
Ted Budd,RepTedBudd,buddforcongress,,NC,R,-0.53381,House
Mary Gay Scanlon,marygayscanlon,RepMGS,,PA,D,-0.53762,House
Jim Banks,Jim_Banks,RepJimBanks,,IN,R,-0.54076,House
Dwight Evans,RepDwightEvans,DwightEvansPA,,PA,D,-0.55211,House
Al Green,RepAlGreenTX,RepAlGreen,,TX,D,-0.5564,House
Adam Smith,RepAdamSmith,electadamsmith,,WA,D,-0.56896,House
Greg Gianforte,GregForMontana,,,MT,R,-0.57197,House
Devin Nunes,RepDevinNunes,DevinNunes,,CA,R,-0.57398,House
Katherine Clark,KatherineClark,RepKClark,,MA,D,-0.57489,House
Bill Huizenga,RepHuizenga,,,MI,R,-0.58724,House
Mac Thornberry,MacThornberry,MacTXPress,,TX,R,-0.58953,House
Clay Higgins,CaptClayHiggins,RepClayHiggins,,LA,R,-0.59182,House
Pete Visclosky,RepVisclosky,,,IN,D,-0.59627,House
Kelly Armstrong,Armstrong_ND,RepArmstrongND,,ND,R,-0.59851,House
John Sarbanes,RepSarbanes,JohnSarbanes,,MD,D,-0.60553,House
Barbara Lee,BLeeForCongress,RepBarbaraLee,,CA,D,-0.60713,House
John Carter,JudgeJohnCarter,JudgeCarter,,TX,R,-0.61224,House
Jodey Arrington,JodeyArrington,RepArrington,,TX,R,-0.61229,House
Pete Aguilar,RepPeteAguilar,aguilarpete,,CA,D,-0.62251,House
Gregory Meeks,RepGregoryMeeks,,,NY,D,-0.63544,House
Jim Himes,jahimes,,,CT,D,-0.63814,House
Scott Perry,RepScottPerry,,,PA,R,-0.64064,House
Adriano Espaillat,EspaillatNY,RepEspaillat,,NY,D,-0.6432,House
Sean Casten,SeanCasten,RepCasten,,IL,D,-0.64514,House
Bob Gibbs,RepBobGibbs,,,OH,R,-0.6466,House
Katie Hill,KatieHill4CA,RepKatieHill,,CA,D,-0.64772,House
Kevin Hern,repkevinhern,krhern,,OK,R,-0.64899,House
Jim Clyburn,ClyburnSC06,WhipClyburn,,SC,D,-0.65059,House
Maxine Waters,RepMaxineWaters,MaxineWaters,,CA,D,-0.65181,House
Jody Hice,CongressmanHice,JodyHice,,GA,R,-0.65629,House
Robert Aderholt,Robert_Aderholt,,,AL,R,-0.65654,House
Ralph Abraham,DocAbraham,RepAbraham,,LA,R,-0.66306,House
Bill Flores,RepBillFlores,,,TX,R,-0.66924,House
Debbie Mucarsel-Powell,DebbieforFL,RepDMP,,FL,D,-0.67368,House
Nanette Barragan,RepBarragan,Nanette4CA,,CA,D,-0.68814,House
John Shimkus,JohnMShimkus,RepShimkus,,IL,R,-0.69042,House
Alex Mooney,RepAlexMooney,MooneyforWV,,WV,R,-0.6997,House
Nita Lowey,NitaLowey,,,NY,D,-0.71495,House
Greg Murphy,RepGregMurphy,,,NC,R,-0.71649,House
Steven Horsford,RepHorsford,StevenHorsford,,NV,D,-0.72214,House
Hal Rogers,RepHalRogers,,,KY,R,-0.72686,House
Ralph Norman,RalphNorman,RepRalphNorman,,SC,R,-0.73072,House
John Joyce,RepJohnJoyce,JohnJoyceForPA,,PA,R,-0.73164,House
John Lewis,repjohnlewis,,,GA,D,-0.73904,House
Bonnie Watson Coleman,RepBonnie,,,NJ,D,-0.78639,House
Steve Womack,rep_stevewomack,womack4congress,,AR,R,-0.79518,House
Kevin Brady,bradyfortexas,RepKevinBrady,,TX,R,-0.81002,House
Jimmy Gomez,RepJimmyGomez,JimmyGomezCA,,CA,D,-0.83313,House
Juan Vargas,RepJuanVargas,,,CA,D,-0.83814,House
Pramila Jayapal,RepJayapal,PramilaJayapal,,WA,D,-0.86177,House
Jahana Hayes,JahanaHayesCT,RepJahanaHayes,,CT,D,-0.86652,House
Rick Crawford,RepRickCrawford,,,AR,R,-0.87285,House
Jeff Duncan,RepJeffDuncan,Duncan4Congress,,SC,R,-0.88446,House
Warren Davidson,WarrenDavidson,Vote_Davidson,,OH,R,-0.93594,House
Chip Roy,chiproytx,RepChipRoy,,TX,R,-0.94616,House
Ken Buck,RepKenBuck,BuckForColorado,,CO,R,-0.95169,House
Rashida Tlaib,RashidaTlaib,RepRashida,,MI,D,-1.00756,House
Frederica Wilson,RepWilson,,,FL,D,-1.02535,House
Andy Biggs,andybiggs4az,RepAndyBiggsAZ,,AZ,R,-1.05869,House
Steve King,SteveKingIA,KingforCongress,,IA,R,-1.05905,House
Steny Hoyer,StenyHoyer,LeaderHoyer,,MD,D,-1.08017,House
Russ Fulcher,RepRussFulcher,RussFulcher,,ID,R,-1.08977,House
Chuy Garcia,RepChuyGarcia,ChuyForCongress,,IL,D,-1.13248,House
Liz Cheney,RepLizCheney,Liz_Cheney,,WY,R,-1.13521,House
Scott Desjarlais,tndesjarlais,DesJarlaisTN04,,TN,R,-1.14864,House
Adam Schiff,RepAdamSchiff,AdamSchiff,,CA,D,-1.1523,House
Ilhan Omar,Ilhan,IlhanMN,,MN,D,-1.17031,House
Dan Bishop,RepDanBishop,,,NC,R,-1.24251,House
Ayanna Pressley,AyannaPressley,RepPressley,,MA,D,-1.24848,House
Alexandria Ocasio-Cortez,AOC,RepAOC,,NY,D,-1.2585,House
Tom McClintock,RepMcClintock,tommcclintock,,CA,R,-1.26454,House
Michael Cloud,MichaelJCloud,RepCloudTX,,TX,R,-1.27429,House
John Rose,RepJohnRose,JohnRoseforTN,,TN,R,-1.28081,House
Louie Gohmert,replouiegohmert,LouieGohmertTX1,,TX,R,-1.34767,House
Mo Brooks,RepMoBrooks,,,AL,R,-1.35791,House
Mike Johnson,RepMikeJohnson,MikeJohnson,,LA,R,-1.3601,House
Steve Scalise,SteveScaliseGOP,SteveScalise,,LA,R,-1.40137,House
Jim Jordan,Jim_Jordan,,,OH,R,-1.47887,House
Rick Allen,RepRickAllen,rickallen,,GA,R,-1.53762,House
Gary Palmer,Palmer4Alabama,USRepGaryPalmer,,AL,R,-1.76249,House
Kevin McCarthy,kevinomccarthy,GOPLeader,,CA,R,,House
Nancy Pelosi,TeamPelosi,SpeakerPelosi,,CA,D,,House
Chuck Schumer,SenSchumer,chuckschumer,,NY,D,,Senate
Mitch McConnell,McConnellPress,senatemajldr,,KY,R,,Senate
Kay Granger,RepKayGranger,,,TX,R,,House
Walter Jones,RepWalterJones,,,NC,R,,House
Alcee Hastings,,,,FL,D,0.13091,House
