name,twitter_handle,twitter_handle_2,twitter_handle_3,state,party,score,congress_group
Josh Hawley,HawleyMO,SenHawleyPress,,MO,R,-0.29032,Senate
Mike Lee,SenMikeLee,,,UT,R,-0.34082,Senate
Tim Kaine,timkaine,,,VA,D,-0.36628,Senate
Mike Enzi,SenatorEnzi,,,WY,R,-0.44405,Senate
Rick Scott,ScottforFlorida,SenRickScott,,FL,R,-0.44777,Senate
Jeff Merkley,JeffMerkley,SenJeffMerkley,,OR,D,-0.47978,Senate
Jack Reed,SenJackReed,,,RI,D,-0.51223,Senate
Ted Cruz,SenTedCruz,tedcruz,,TX,R,-0.53971,Senate
Cory Booker,CoryBooker,SenBooker,,NJ,D,-0.61229,Senate
Tom Udall,SenatorTomUdall,TomUdallPress,,NM,D,-0.65696,Senate
Chris Murphy,SenMurphyOffice,ChrisMurphyCT,,CT,D,-0.74095,Senate
Ben Sasse,SenSasse,BenSasse,,NE,R,-0.80295,Senate
Kamala Harris,SenKamalaHarris,KamalaHarris,,CA,D,-0.92915,Senate
Mazie Hirono,maziehirono,mazieforhawaii,,HI,D,-0.95739,Senate
Patty Murray,MurrayCampaign,PattyMurray,,WA,D,-1.00766,Senate
Kelly Loeffler,SenatorLoeffler,,,GA,R,-1.09946,Senate
Richard Shelby,SenShelby,,,AL,R,-1.19357,Senate
Bernie Sanders,BernieSanders,SenSanders,,VT,D,-1.66974,Senate
Brian Fitzpatrick,BrianFitzUSA,RepBrianFitz,,PA,R,6.83932,House
John Katko,RepJohnKatko,,,NY,R,4.25232,House
Josh Gottheimer,JoshGottheimer,RepJoshG,,NJ,D,3.64695,House
Peter King,RepPeteKing,petekingcpg,,NY,R,3.348,House
Chris Smith,RepChrisSmith,,,NJ,R,2.94641,House
Don Young,DonYoungAK,repdonyoung,,AK,R,2.8809,House
Ron Kind,KindforCongress,RepRonKind,,WI,D,2.84213,House
Collin Peterson,collinpeterson,,,MN,D,2.51264,House
Abigail Spanberger,SpanbergerVA07,RepSpanberger,,VA,D,2.30736,House
David McKinley,RepMcKinley,,,WV,R,2.29043,House
Jenniffer Gonzalez,RepJenniffer,,,PR,R,2.0737,House
Dean Phillips,RepDeanPhillips,deanbphillips,,MN,D,2.02728,House
Elise Stefanik,RepStefanik,EliseStefanik,,NY,R,1.86284,House
Rodney Davis,RodneyDavis,,,IL,R,1.85946,House
Don Bacon,RepDonBacon,DonJBacon,,NE,R,1.82881,House
Henry Cuellar,RepCuellar,,,TX,D,1.77832,House
Joe Cunningham,JoeCunninghamSC,RepCunningham,,SC,D,1.76579,House
Anthony Brindisi,ABrindisiNY,RepBrindisi,,NY,D,1.74901,House
Lee Zeldin,leezeldin,RepLeeZeldin,,NY,R,1.71579,House
Tom O'Halleran,RepOHalleran,TomOHalleran,,AZ,D,1.63282,House
Steve Stivers,stevestivers,RepSteveStivers,,OH,R,1.60116,House
Van Taylor,RepVanTaylor,VanTaylorTX,,TX,R,1.56865,House
Michael McCaul,RepMcCaul,McCaulforTexas,,TX,R,1.5027,House
Antonio Delgado,repdelgado,DelgadoforNY19,,NY,D,1.50087,House
Tom Cole,TomColeOK04,,,OK,R,1.49861,House
Derek Kilmer,RepDerekKilmer,DerekKilmer,,WA,D,1.49799,House
Gus Bilirakis,RepGusBilirakis,,,FL,R,1.49257,House
Jimmy Panetta,RepJimmyPanetta,JimmyPanetta,,CA,D,1.45102,House
Matt Cartwright,CartwrightPA,RepCartwright,,PA,D,1.44156,House
Tom Reed,RepTomReed,TomReedCongress,,NY,R,1.43964,House
Darren Soto,DarrenSoto,RepDarrenSoto,,FL,D,1.41872,House
Elaine Luria,ElaineLuriaVA,RepElaineLuria,,VA,D,1.41624,House
Kathleen Rice,RepKathleenRice,KathleenRice,,NY,D,1.41391,House
Peter Welch,WelchForVT,PeterWelch,,VT,D,1.39486,House
Cathy McMorris Rodgers,cathymcmorris,TeamCMR,,WA,R,1.37557,House
Adam Kinzinger,RepKinzinger,AdamKinzinger,,IL,R,1.35736,House
Mike Thompson,RepThompson,Mike_CA05,,CA,D,1.30854,House
Ann McLane Kuster,RepAnnieKuster,AnnMcLaneKuster,,NH,D,1.30242,House
Anthony Gonzalez,RepAGonzalez,anthonygonzalez,,OH,R,1.29965,House
Ben Mcadams,BenMcAdams,RepBenMcAdams,,UT,D,1.27925,House
Joe Neguse,RepJoeNeguse,JoeNeguse,,CO,D,1.2638,House
Tim Ryan,RepTimRyan,TimRyan,,OH,D,1.21726,House
John Rutherford,RepRutherfordFL,,,FL,R,1.20303,House
David Joyce,RepDaveJoyce,DaveJoyceOH14,,OH,R,1.19926,House
Conor Lamb,RepConorLamb,ConorLambPA,,PA,D,1.19867,House
Will Hurd,WillHurd,HurdOnTheHill,,TX,R,1.1655,House
Amata Radewagen,RepAmata,,,AS,R,1.16396,House
Susan Brooks,SusanWBrooks,SusanBrooksIN,,IN,R,1.14,House
David Trone,davidjtrone,RepDavidTrone,,MD,D,1.1325,House
Cindy Axne,Axne4Congress,RepCindyAxne,,IA,D,1.13045,House
Scott Peters,RepScottPeters,ScottPetersSD,,CA,D,1.12609,House
Paul Tonko,PaulTonko,RepPaulTonko,,NY,D,1.09071,House
Brian Mast,RepBrianMast,BrianMastFL,,FL,R,1.08583,House
Mike Bost,BostForCongress,RepBost,,IL,R,1.08466,House
Pete Stauber,PeteStauber,RepPeteStauber,,MN,R,1.054,House
Vicente Gonzalez,RepGonzalez,,,TX,D,1.04917,House
Terri Sewell,RepTerriSewell,,,AL,D,1.04208,House
Eliot Engel,RepEliotEngel,,,NY,D,1.03345,House
Jim Sensenbrenner,JimPressOffice,,,WI,R,1.03132,House
Darin Lahood,RepLaHood,,,IL,R,1.02415,House
Buddy Carter,Buddy_Carter,RepBuddyCarter,,GA,R,1.02338,House
Thomas Suozzi,Tom_Suozzi,RepTomSuozzi,,NY,D,1.02125,House
Jason Crow,JasonCrowCO6,RepJasonCrow,,CO,D,1.01193,House
John Curtis,RepJohnCurtis,CurtisUT,,UT,R,1.00936,House
Elissa Slotkin,ElissaSlotkin,RepSlotkin,,MI,D,1.00082,House
Ted Yoho,RepTedYoho,,,FL,R,0.97715,House
Vern Buchanan,VernBuchanan,,,FL,R,0.96964,House
Kendra Horn,HornForCongress,RepKendraHorn,,OK,D,0.96283,House
Glenn Thompson,GT_TeamGT,CongressmanGT,,PA,R,0.9597,House
Abby Finkenauer,RepFinkenauer,Abby4Iowa,,IA,D,0.95556,House
Ann Wagner,RepAnnWagner,AnnLWagner,,MO,R,0.94177,House
Josh Harder,RepJoshHarder,JoshHarder,,CA,D,0.92242,House
Max Rose,MaxRose4NY,RepMaxRose,,NY,D,0.89914,House
Paul Cook,RepPaulCook,,,CA,R,0.88398,House
Andy Kim,AndyKimNJ,RepAndyKimNJ,,NJ,D,0.8799,House
Joe Wilson,RepJoeWilson,CongJoeWilson,,SC,R,0.84118,House
Jared Golden,golden4congress,RepGolden,,ME,D,0.83044,House
Jackie Walorski,jackiewalorski,RepWalorski,,IN,R,0.82095,House
Earl Blumenauer,repblumenauer,,,OR,D,0.8177,House
Tulsi Gabbard,TulsiGabbard,TulsiPress,,HI,D,0.80671,House
Mike Turner,MikeTurnerOH,RepMikeTurner,,OH,R,0.78947,House
John Garamendi,JohnGaramendi,RepGaramendi,,CA,D,0.78401,House
Brad Schneider,RepSchneider,Schneider4IL10,,IL,D,0.7831,House
Guy Reschenthaler,reschenthaler,GReschenthaler,,PA,R,0.76908,House
Jaime Herrera Beutler,HerreraBeutler,JaimeForUSRep,,WA,R,0.7597,House
Michael Waltz,michaelgwaltz,RepMichaelWaltz,,FL,R,0.74534,House
Charlie Crist,RepCharlieCrist,CharlieCrist,,FL,D,0.74517,House
Raul Ruiz,RepRaulRuizMD,Dr_RaulRuiz,,CA,D,0.74395,House
Mike Gallagher,RepGallagher,MikeforWI,,WI,R,0.74369,House
Jeff Fortenberry,JeffFortenberry,,,NE,R,0.74045,House
James Langevin,LangevinForRI,JimLangevin,,RI,D,0.71725,House
Angie Craig,AngieCraigMN,RepAngieCraig,,MN,D,0.71094,House
Tim Walberg,TimWalberg,RepWalberg,,MI,R,0.70639,House
Fred Upton,RepFredUpton,UptonForAllOfUs,,MI,R,0.70064,House
Stephanie Murphy,SMurphyCongress,RepStephMurphy,,FL,D,0.69541,House
Steve Chabot,SteveChabot,RepSteveChabot,,OH,R,0.68059,House
Chris Pappas,ChrisPappasNH,RepChrisPappas,,NH,D,0.67513,House
Susie Lee,RepSusieLee,SusieLeeNV,,NV,D,0.67079,House
Kurt Schrader,RepSchrader,,,OR,D,0.66722,House
Phil Roe,DrPhilRoe,,,TN,R,0.65543,House
Pete Olson,RepPeteOlson,PeteOlson,,TX,R,0.6537,House
Scott Tipton,RepTipton,,,CO,R,0.6469,House
Chrissy Houlahan,RepHoulahan,HoulahanForPa,,PA,D,0.63697,House
Ann Kirkpatrick,Ann_Kirkpatrick,RepKirkpatrick,,AZ,D,0.63361,House
Brad Sherman,BradSherman4SFV,BradSherman,,CA,D,0.62495,House
Francis Rooney,RepRooney,FrancisRooney,,FL,R,0.61581,House
Dan Lipinski,RepLipinski,DanLipinski,,IL,D,0.61555,House
Seth Moulton,sethmoulton,teammoulton,,MA,D,0.61322,House
Frank Lucas,RepFrankLucas,,,OK,R,0.61122,House
Xochitl Torres Small,RepTorresSmall,XochforCongress,,NM,D,0.60634,House
Gil Cisneros,GilCisnerosCA,RepGilCisneros,,CA,D,0.58577,House
Colin Allred,ColinAllredTX,RepColinAllred,,TX,D,0.58477,House
Debbie Dingell,DebDingell,RepDebDingell,,MI,D,0.56848,House
Peter Defazio,RepPeterDeFazio,,,OR,D,0.55195,House
Dave Loebsack,daveloebsack,DaveForIowa,,IA,D,0.54675,House
Anthony Brown,AnthonyBrownMD4,RepAnthonyBrown,,MD,D,0.54489,House
Jack Bergman,RepJackBergman,JackBergman_MI1,,MI,R,0.52541,House
Mikie Sherrill,MikieSherrill,RepSherrill,,NJ,D,0.52491,House
Gerry Connolly,GerryConnolly,ElectConnolly,,VA,D,0.52369,House
Gregorio Sablan,Kilili_Sablan,,,MP,D,0.51397,House
Troy Balderson,RepBalderson,Troy_Balderson,,OH,R,0.50926,House
Lizzie Pannill Fletcher,RepFletcher,Lizzie4Congress,,TX,D,0.50006,House
Harley Rouda,HarleyRouda,RepHarley,,CA,D,0.49601,House
Sanford Bishop,SanfordBishop,,,GA,D,0.4887,House
Chellie Pingree,chelliepingree,,,ME,D,0.48617,House
Cheri Bustos,CheriBustos,RepCheri,,IL,D,0.48405,House
Joe Courtney,JoeCourtneyCT,RepJoeCourtney,,CT,D,0.48387,House
Jim McGovern,McGovernMA,RepMcGovern,,MA,D,0.47069,House
Mike Kelly,MikeKellyPA,MikeKellyforPA,,PA,R,0.4669,House
Susan Wild,wildforcongress,RepSusanWild,,PA,D,0.44862,House
Tom Malinowski,Malinowski,RepMalinowski,,NJ,D,0.43254,House
Eddie Bernice Johnson,RepEBJ,,,TX,D,0.42547,House
Roger Marshall,RepMarshall,RogerMarshallMD,,KS,R,0.42486,House
Markwayne Mullin,MarkwayneMullin,RepMullin,,OK,R,0.41798,House
Brad Wenstrup,RepBradWenstrup,,,OH,R,0.40225,House
Denny Heck,RepDennyHeck,,,WA,D,0.39136,House
Lisa Blunt Rochester,LisaBRochester,RepLBR,,DE,D,0.3894,House
Paul Mitchell,RepPaulMitchell,,,MI,R,0.36355,House
George Holding,RepHolding,GeorgeHolding,,NC,R,0.35992,House
